web_scraper_order,web_scraper_start_url,Pagination,V1,V2,V3,V4-src
"1771768134-222","https://sn.coinafrique.com/categorie/moutons","","Mouton de tabaski","350CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5289055_uploaded_image1_1745062842.jpg"
"1771768134-223","https://sn.coinafrique.com/categorie/moutons","","Mouton","80 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_5288288_uploaded_image1_1744995144.jpg"
"1771768134-224","https://sn.coinafrique.com/categorie/moutons","","Mouton","150 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_5288284_uploaded_image1_1744994723.jpg"
"1771768134-225","https://sn.coinafrique.com/categorie/moutons","","Mouton","350 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_5242287_uploaded_image2_1742488655.jpeg"
"1771768134-226","https://sn.coinafrique.com/categorie/moutons","","Mouton","350 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5234191_uploaded_image1_1742083080.jpg"
"1771768134-227","https://sn.coinafrique.com/categorie/moutons","","Mouton de race","350 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5228921_uploaded_image1_1741801692.jpg"
"1771768134-228","https://sn.coinafrique.com/categorie/moutons","","Mouton","350 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5228913_uploaded_image1_1741801582.jpg"
"1771768134-229","https://sn.coinafrique.com/categorie/moutons","","Mouton","300 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5200965_uploaded_image1_1740410729.jpg"
"1771768134-230","https://sn.coinafrique.com/categorie/moutons","","Mouton","350 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5196558_uploaded_image1_1740141766.jpg"
"1771768134-231","https://sn.coinafrique.com/categorie/moutons","","Mouton","325 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5196554_uploaded_image1_1740141524.jpg"
"1771768134-232","https://sn.coinafrique.com/categorie/moutons","","Mouton Ladoum","300 000CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_5187810_uploaded_image1_1739676570.jpg"
"1771768134-233","https://sn.coinafrique.com/categorie/moutons","","Mouton Ladoum","300 000CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_5187800_uploaded_image1_1739674108.jpg"
"1771768134-234","https://sn.coinafrique.com/categorie/moutons","","Mouton Ladoum","300 000CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_5187761_uploaded_image1_1739669832.jpg"
"1771768134-235","https://sn.coinafrique.com/categorie/moutons","","Mouton Ladoum","300 000CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_5187749_uploaded_image1_1739669547.jpg"
"1771768134-236","https://sn.coinafrique.com/categorie/moutons","","Ladoum","750 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5179072_uploaded_image1_1739195002.jpg"
"1771768134-237","https://sn.coinafrique.com/categorie/moutons","","Bélier","225 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5179070_uploaded_image1_1739194872.jpg"
"1771768134-238","https://sn.coinafrique.com/categorie/moutons","","Mouton","200 000CFA","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_5164450_uploaded_image1_1738427830.jpg"
"1771768134-239","https://sn.coinafrique.com/categorie/moutons","","Mouton","180 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5159269_uploaded_image1_1738163617.jpg"
"1771768134-240","https://sn.coinafrique.com/categorie/moutons","","Mouton Ladoum","375 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5144166_uploaded_image1_1737393386.jpg"
"1771768134-241","https://sn.coinafrique.com/categorie/moutons","","Mouton Ladoum","1 000 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5114763_uploaded_image1_1735745896.jpg"
"1771768134-242","https://sn.coinafrique.com/categorie/moutons","","Mouton","180 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5114762_uploaded_image1_1735745550.jpg"
"1771768134-243","https://sn.coinafrique.com/categorie/moutons","","Mouton","140 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5090703_uploaded_image1_1734111129.jpg"
"1771768134-244","https://sn.coinafrique.com/categorie/moutons","","Mouton Ladoum","500 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5026510_uploaded_image1_1730734414.jpg"
"1771768134-245","https://sn.coinafrique.com/categorie/moutons","","Mouton Ladoum","1 000 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5026478_uploaded_image1_1730733079.jpg"
"1771768134-246","https://sn.coinafrique.com/categorie/moutons","","Mouton","150 000CFA","Niaga, Sénégal","https://images.coinafrique.com/thumb_4995716_uploaded_image1_1729028654.jpg"
"1771768134-247","https://sn.coinafrique.com/categorie/moutons","","Mouton Ladoum","350 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969224_uploaded_image1_1727728741.jpg"
"1771768134-248","https://sn.coinafrique.com/categorie/moutons","","Mouton Ladoum","350 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969221_uploaded_image1_1727728659.jpg"
"1771768134-249","https://sn.coinafrique.com/categorie/moutons","","Mouton Ladoum","650 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969219_uploaded_image1_1727728556.jpg"
"1771768134-250","https://sn.coinafrique.com/categorie/moutons","","Femelle Ladoume","200 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_4961186_uploaded_image1_1727261381.jpg"
"1771768134-251","https://sn.coinafrique.com/categorie/moutons","","Landoum pur","1 200 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4948067_uploaded_image1_1726569636.jpg"
"1771768134-252","https://sn.coinafrique.com/categorie/moutons","","Mouton Ladoum","800 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4931367_uploaded_image1_1725633697.jpg"
"1771768138-253","https://sn.coinafrique.com/categorie/chiens","","Chiots","150 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_5782568_uploaded_image1_1771523397.jpg"
"1771768138-254","https://sn.coinafrique.com/categorie/chiens","","Berger Belge Malinois","250 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5777856_uploaded_image1_1771313983.jpg"
"1771768138-255","https://sn.coinafrique.com/categorie/chiens","","Chien","100 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_5769939_uploaded_image1_1770828331.jpg"
"1771768138-256","https://sn.coinafrique.com/categorie/chiens","","Chiot Bouledogues français","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5757166_uploaded_image1_1770160169.jpg"
"1771768138-257","https://sn.coinafrique.com/categorie/chiens","","Chiots Berger Allemand","150 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5751732_uploaded_image1_1769889114.jpg"
"1771768138-258","https://sn.coinafrique.com/categorie/chiens","","Chiots Berger Allemand","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5735854_uploaded_image1_1769103978.jpg"
"1771768138-259","https://sn.coinafrique.com/categorie/chiens","","Chiots Samoyède","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5735842_uploaded_image1_1769103800.jpg"
"1771768138-260","https://sn.coinafrique.com/categorie/chiens","","Chiots","325 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5735305_uploaded_image1_1769086998.jpg"
"1771768138-261","https://sn.coinafrique.com/categorie/chiens","","Chiot Husky femelle + 10kg","350 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5729912_uploaded_image1_1768887074.jpg"
"1771768138-262","https://sn.coinafrique.com/categorie/chiens","","Berger Allemand","250 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5727097_uploaded_image1_1768728630.jpg"
"1771768138-263","https://sn.coinafrique.com/categorie/chiens","","Bichon","200 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5727093_uploaded_image1_1768728563.jpg"
"1771768138-264","https://sn.coinafrique.com/categorie/chiens","","Chiots Berger Allemand","180CFA","Guediawaye, Sénégal","https://images.coinafrique.com/thumb_5724820_uploaded_image1_1768584135.jpg"
"1771768138-265","https://sn.coinafrique.com/categorie/chiens","","Chiot Husky femelle","350 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5715193_uploaded_image1_1768132975.jpg"
"1771768138-266","https://sn.coinafrique.com/categorie/chiens","","Chiot Bichon Maltais","150 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713394_uploaded_image1_1768013303.jpg"
"1771768138-267","https://sn.coinafrique.com/categorie/chiens","","Berger Allemand","450 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5711909_uploaded_image1_1767945597.jpg"
"1771768138-268","https://sn.coinafrique.com/categorie/chiens","","Chiot Husky","250 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5708534_uploaded_image1_1767798650.jpg"
"1771768138-269","https://sn.coinafrique.com/categorie/chiens","","Métisse  rock belger","75 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5707420_uploaded_image1_1767744364.jpg"
"1771768138-270","https://sn.coinafrique.com/categorie/chiens","","Chiots Berger Malinois X","200 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5701157_uploaded_image1_1767442861.jpg"
"1771768138-271","https://sn.coinafrique.com/categorie/chiens","","Chiots malinois","280 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5699953_uploaded_image1_1767376903.jpg"
"1771768138-272","https://sn.coinafrique.com/categorie/chiens","","Berger Allemand","200 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5697068_uploaded_image1_1767154390.jpg"
"1771768138-273","https://sn.coinafrique.com/categorie/chiens","","Chiot malinois","250CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5690476_uploaded_image1_1766764470.jpg"
"1771768138-274","https://sn.coinafrique.com/categorie/chiens","","Chiot Labrador","250 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5672239_uploaded_image1_1765736340.jpg"
"1771768138-275","https://sn.coinafrique.com/categorie/chiens","","Chiots Dogue Argentin","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5671568_uploaded_image1_1765675623.jpg"
"1771768138-276","https://sn.coinafrique.com/categorie/chiens","","Chiots Rottweiler","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5671567_uploaded_image1_1765675459.jpg"
"1771768138-277","https://sn.coinafrique.com/categorie/chiens","","Chiots Husky","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5671564_uploaded_image1_1765675272.jpg"
"1771768138-278","https://sn.coinafrique.com/categorie/chiens","","Chiots Spizt","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5671563_uploaded_image1_1765674976.jpg"
"1771768138-279","https://sn.coinafrique.com/categorie/chiens","","Chiots labradors","300 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5667947_uploaded_image1_1765469989.jpg"
"1771768138-280","https://sn.coinafrique.com/categorie/chiens","","Chiot Husky","350 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5664078_uploaded_image1_1765299555.jpg"
"1771768138-281","https://sn.coinafrique.com/categorie/chiens","","Berger malinois charbonner","250CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5649558_uploaded_image1_1764572984.jpg"
"1771768138-282","https://sn.coinafrique.com/categorie/chiens","","Chiot Bichon Maltais","100 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5644579_uploaded_image1_1764272051.jpg"
"1771768138-283","https://sn.coinafrique.com/categorie/chiens","","Chiots Labradors Retriever","300 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5640905_uploaded_image1_1764096718.jpg"
"1771768138-284","https://sn.coinafrique.com/categorie/chiens","","Chiot Malinois","200 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5628892_uploaded_image1_1763507006.jpg"
"1771768138-285","https://sn.coinafrique.com/categorie/chiens","","Chiot Berger Malinois","150 000CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5628715_uploaded_image1_1763500388.jpg"
"1771768138-286","https://sn.coinafrique.com/categorie/chiens","","Parfum Presa Canario","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5617572_uploaded_image1_1762928156.jpg"
"1771768138-287","https://sn.coinafrique.com/categorie/chiens","","Chiot Malinois","125 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5616738_uploaded_image1_1762882607.jpg"
"1771768138-288","https://sn.coinafrique.com/categorie/chiens","","Chiots Border Collie","140 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5616729_uploaded_image1_1762882207.jpg"
"1771768138-289","https://sn.coinafrique.com/categorie/chiens","","Berger Belge Malinois","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5616008_uploaded_image1_1762860338.jpg"
"1771768138-290","https://sn.coinafrique.com/categorie/chiens","","Chiot","60 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_5613212_uploaded_image1_1762713775.jpg"
"1771768138-291","https://sn.coinafrique.com/categorie/chiens","","Chiot Pitbull Tricolor","120 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5610458_uploaded_image1_1762521942.jpg"
"1771768138-292","https://sn.coinafrique.com/categorie/chiens","","Chiot Labrador","400 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5603738_uploaded_image1_1762199868.jpg"
"1771768138-293","https://sn.coinafrique.com/categorie/chiens","","Chiot Bichon maltais","125 000CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_5601862_uploaded_image1_1762106679.jpg"
"1771768138-294","https://sn.coinafrique.com/categorie/chiens","","Chiot Pitbull","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_5599056_uploaded_image1_1761928314.jpg"
"1771768138-295","https://sn.coinafrique.com/categorie/chiens","","Chiot American","170CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5579814_uploaded_image1_1760778039.jpg"
"1771768138-296","https://sn.coinafrique.com/categorie/chiens","","Chiot Berger Allemand","250 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5575546_uploaded_image1_1760547251.jpg"
"1771768138-297","https://sn.coinafrique.com/categorie/chiens","","Bichon Maltais frisé","150 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5572179_uploaded_image1_1760379385.jpg"
"1771768138-298","https://sn.coinafrique.com/categorie/chiens","","Chiot Presa Canario","650 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5565180_uploaded_image1_1759957391.jpg"
"1771768138-299","https://sn.coinafrique.com/categorie/chiens","","Chiot Berger Allemand","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5563010_uploaded_image1_1759844917.jpg"
"1771768138-300","https://sn.coinafrique.com/categorie/chiens","","Chiot Husky Sibérien vacciné","400 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5560240_uploaded_image1_1759709034.jpg"
"1771768138-301","https://sn.coinafrique.com/categorie/chiens","","Chiots Berger Allemand","130 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_5560003_uploaded_image1_1759693627.jpg"
"1771768138-302","https://sn.coinafrique.com/categorie/chiens","","Chiot Labrador","450 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5550994_uploaded_image1_1759258475.jpg"
"1771768138-303","https://sn.coinafrique.com/categorie/chiens","","Chiot Golden Retriever","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5540468_uploaded_image1_1758664107.jpg"
"1771768138-304","https://sn.coinafrique.com/categorie/chiens","","Chiot Bichon nain","200 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5530652_uploaded_image1_1758128841.jpg"
"1771768138-305","https://sn.coinafrique.com/categorie/chiens","","Husky pur sang femelle","250 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5528570_uploaded_image1_1758035685.jpg"
"1771768138-306","https://sn.coinafrique.com/categorie/chiens","","Chiot pitbull","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5528346_uploaded_image1_1758029532.jpg"
"1771768138-307","https://sn.coinafrique.com/categorie/chiens","","Chiot pitbull","100 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5528337_uploaded_image1_1758029337.jpg"
"1771768138-308","https://sn.coinafrique.com/categorie/chiens","","Chiot Boerboel","375 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5524708_uploaded_image1_1757840142.jpg"
"1771768138-309","https://sn.coinafrique.com/categorie/chiens","","Chiot  Husky","350 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5524610_uploaded_image1_1757831632.jpg"
"1771768138-310","https://sn.coinafrique.com/categorie/chiens","","Chiot Rottweiler","250 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5524392_uploaded_image1_1757805590.jpg"
"1771768138-311","https://sn.coinafrique.com/categorie/chiens","","Chiot Bichon","200 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5521237_uploaded_image1_1757636811.jpg"
"1771768138-312","https://sn.coinafrique.com/categorie/chiens","","Chiot","100 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5516813_uploaded_image1_1757429045.jpg"
"1771768138-313","https://sn.coinafrique.com/categorie/chiens","","Chiot Pitbull","150CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5512296_uploaded_image1_1757182867.jpg"
"1771768138-314","https://sn.coinafrique.com/categorie/chiens","","Chiot Berger allemand","350 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5507784_uploaded_image1_1756958536.jpg"
"1771768138-315","https://sn.coinafrique.com/categorie/chiens","","Chiot Malinois","250CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5506845_uploaded_image1_1756907976.jpg"
"1771768138-316","https://sn.coinafrique.com/categorie/chiens","","Chiots Bichons Havanais","130 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5498808_uploaded_image1_1756485463.jpg"
"1771768138-317","https://sn.coinafrique.com/categorie/chiens","","Chiots Berger Allemand","200 000CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5492262_uploaded_image1_1756135491.jpg"
"1771768138-318","https://sn.coinafrique.com/categorie/chiens","","Chiots Berger Allemand","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5491012_uploaded_image1_1756047419.jpg"
"1771768138-319","https://sn.coinafrique.com/categorie/chiens","","Chiot Berger allemand grand gabarit","350 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5490358_uploaded_image1_1755989245.jpg"
"1771768138-320","https://sn.coinafrique.com/categorie/chiens","","Chiots Labradors","300 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5489586_uploaded_image1_1755947226.jpg"
"1771768138-321","https://sn.coinafrique.com/categorie/chiens","","Chiots Labradors","300 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5489540_uploaded_image1_1755946028.jpg"
"1771768138-322","https://sn.coinafrique.com/categorie/chiens","","Chien  bichons","450 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5489184_uploaded_image1_1755926050.jpg"
"1771768138-323","https://sn.coinafrique.com/categorie/chiens","","Chiots Berger Allemand","350 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5487110_uploaded_image1_1755815195.jpg"
"1771768138-324","https://sn.coinafrique.com/categorie/chiens","","Chiot Rottweiler","400 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5486097_uploaded_image1_1755778960.jpg"
"1771768138-325","https://sn.coinafrique.com/categorie/chiens","","Bichon noir","130 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5482763_uploaded_image1_1755623884.jpg"
"1771768138-326","https://sn.coinafrique.com/categorie/chiens","","Chiot Rottweiler","300 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5480457_uploaded_image1_1755508783.jpg"
"1771768138-327","https://sn.coinafrique.com/categorie/chiens","","Chiot Bichon","200 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5474603_uploaded_image2_1755135509.jpeg"
"1771768138-328","https://sn.coinafrique.com/categorie/chiens","","bichons mâle","150 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5431028_uploaded_image1_1752941357.jpg"
"1771768138-329","https://sn.coinafrique.com/categorie/chiens","","Chiot Malinois","250 000CFA","Sipres, Dakar, Sénégal","https://images.coinafrique.com/thumb_5468013_uploaded_image1_1754773485.jpg"
"1771768138-330","https://sn.coinafrique.com/categorie/chiens","","Chiot Berger allemand","250 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5467125_uploaded_image1_1754733559.jpg"
"1771768138-331","https://sn.coinafrique.com/categorie/chiens","","Chiots Berger Allemand","150 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_5466408_uploaded_image1_1754682101.jpg"
"1771768138-332","https://sn.coinafrique.com/categorie/chiens","","Chat siamois","100 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5465444_uploaded_image1_1754649176.jpg"
"1771768138-333","https://sn.coinafrique.com/categorie/chiens","","Chiot Hamster syrien","5 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5465432_uploaded_image1_1754648750.jpg"
"1771768138-334","https://sn.coinafrique.com/categorie/chiens","","Chiots Spizt","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5464950_uploaded_image1_1754612259.jpg"
"1771768138-335","https://sn.coinafrique.com/categorie/chiens","","Chiots Berger","150 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5463591_uploaded_image1_1754561119.jpg"
"1771768138-336","https://sn.coinafrique.com/categorie/chiens","","Chiots Berger allemend","150 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5463584_uploaded_image1_1754560979.jpg"
